PID,Price,Area,City,No. of Bedrooms,Resale,SwimmingPool,ShoppingMall,24X7Security,PowerBackup,Hospital,AC,Furnished
210,2,1082,1,2,0,1,0,1,1,0,0,1
746,3,1415,1,3,0,1,0,1,1,0,0,1
4515,1,925,5,2,0,5,5,5,5,5,5,5
2532,4,1850,3,3,1,0,0,0,1,0,0,0
4241,4,2815,4,3,0,1,0,1,1,0,0,0
1162,2,1000,2,2,0,0,0,0,0,0,0,0
1895,2,900,3,3,0,0,0,0,0,0,0,0
7085,3,1136,6,2,1,0,0,0,0,0,0,0
7055,4,1388,6,2,1,0,0,0,0,0,1,0
2423,1,540,3,2,1,0,0,0,0,0,0,0
7010,4,1296,6,2,1,1,1,0,1,1,1,0
3513,3,1615,4,3,0,1,0,1,1,0,0,1
2725,2,820,3,3,0,0,0,0,0,0,0,0
5138,2,750,5,2,0,5,5,5,5,5,5,5
3917,3,1972,4,3,0,1,0,1,1,0,0,1
483,1,954,1,2,0,0,0,0,0,0,0,0
6773,3,650,6,1,1,0,0,0,0,0,0,0
7733,2,650,6,2,1,5,5,5,5,5,5,5
4394,2,1500,5,3,0,5,5,5,5,5,5,5
5999,3,1160,5,3,1,5,5,5,5,5,5,5
661,2,1090,1,2,0,1,0,1,1,0,0,1
808,4,5112,1,5,0,1,0,1,1,0,0,0
1915,4,1650,3,3,1,0,0,0,1,0,0,0
6423,2,610,6,1,1,0,0,1,0,0,1,0
1142,4,940,2,2,0,0,0,0,1,0,0,0
3204,2,1300,4,1,1,0,0,0,1,0,0,0
3884,2,1750,4,3,1,0,0,0,0,0,0,0
5097,3,1391,5,3,0,5,5,5,5,5,5,5
5829,1,2185,5,4,1,5,5,5,5,5,5,5
7645,1,2000,6,3,0,5,5,5,5,5,5,5
1167,4,2533,2,3,1,1,0,1,1,0,0,1
1839,4,1300,3,2,1,0,0,0,0,0,0,0
6672,3,1107,6,3,0,0,0,0,0,0,0,0
6226,4,1400,6,3,1,0,1,0,0,1,0,0
36,2,1210,1,2,0,1,0,0,1,0,0,1
950,3,1830,1,4,0,1,1,1,1,1,1,1
2695,1,640,3,2,0,0,0,0,0,0,0,0
508,2,1280,1,3,0,0,0,1,1,0,0,1
733,3,1440,1,3,0,1,0,1,1,0,0,1
851,3,1204,1,2,0,1,1,1,1,0,0,1
1869,4,1600,3,3,1,0,0,0,0,0,0,0
4182,3,1392,4,2,0,1,0,0,1,0,0,0
2020,4,1900,3,4,1,0,0,1,1,0,0,1
3327,1,1100,4,2,0,0,0,0,1,0,0,0
5108,2,807,5,2,0,5,5,5,5,5,5,5
2316,1,800,3,2,0,0,0,0,0,0,0,0
2557,4,1800,3,3,1,0,0,0,1,0,0,1
